Titre_Simplifie;Entreprise;Ville;Departement;Contrat;Salaire_Annuel
Chargé d'affaires;Socotec;Puteaux;92;CDI;
Chargé d'affaires;Socotec;Clermont-Ferrand;63;CDI;45000.0
Chargé d'affaires;Arkea Banque Entreprises et Institutionnels;Angoulême;16;CDI;
Chargé d'affaires;Otteo;Lille;59;CDI;
Chargé d'affaires;Vertical RH;Les Herbiers;85;CDI;42000.0
Chargé d'affaires;Socotec;Poitiers;86;CDI;
Chargé d'affaires;ACEPP;Pierrelatte;26;CDI;
Chargé d'affaires;Atlantique Automatismes Incendie;Saint-Jean-de-la-Ruelle;45;CDI;
Chargé d'assistance trilingue;Jobmania;Paris;75;CDI;27500.0
Chargé de communication;Aftral;Dijon;21;CDI;27300.0
Chargé de développement social et urbain;Côte d'Azur Habitat;Nice;6;CDI;33000.0
Chargé de gestion des contrats clients;Docaposte;Paris;75;CDI;
Chargé de gestion locative;Alliade Habitat;Lyon;69;CDI;22488.0
Chargé de marketing & partenariats;TYLS Conseil;Laval;53;CDI;
Chargé de missions rh;Samsic Indoors;Oullins;69;CDI;26400.0
Chargé de projets amiante;ESSET PM;Caluire-et-Cuire;69;CDI;
Chargé de réalisation chantier ascensoriste;NSA;Paris;Créteil;CDI;
Chargé de recrutement;Start People, rejoignez-nous;Lens;62;CDI;26000.0
Chargé de support gta;Nibelis;Levallois-Perret;92;CDI;
Chargé de surveillance conservation nucléaire;Assystem;Cherbourg-en-Cotentin;50;CDI;
Chargé d'études en électricité;DEF;Massy;91;CDI;27600.0
Chargé d'études en incendie;Chubb;Villeneuve-la-Garenne;92;CDI;39000.0
Chargé d'études et d'expertises mesures nucléaires;Orano;La Hague;50;CDI;
Chargé d'expertise technique machines;Socotec;Nevers;58;CDI;45000.0
Chargé gestion et de planification de production;Brioche Pasquier Etoile;Étoile-sur-Rhône;26;CDI;
Chargée d'affaires génie civil travaux préparatoires nouveau nucléaire;Socotec;Gravelines;59;CDI;50000.0
Chaudronnier itinérant;Paprec;Dijon;21;CDI;
Chauffagiste tuyauteur polyvalent;SPIE BATIGNOLLES;Besançon;25;CDI;
Chauffeur ;Aftral;Toulouse;31;CDI;32000.0
Chauffeur ;SARP;La Ciotat;13;CDI;26000.0
Chauffeur ;SARP;Lunel;34;CDI;25400.0
Chauffeur ;SARP;Marseille;13;CDI;26000.0
Chauffeur ;Cerise et Potiron;Corbas;69;CDI;23660.52
Chauffeur ;Terreazur - Groupe Pomona;Plérin;22;CDI;
Chauffeur ;Sunclear;Tourcoing;59;CDI;25200.0
Chauffeur ;Envoyé Spécial;Fretin;59;CDI;69161.52
Chauffeur ;Mauffrey;Troyes;10;CDI;
Chauffeur ;Mauffrey;Blaringhem;59;CDI;
Chauffeur ;Mauffrey;Châtellerault;86;CDI;
Chauffeur ;Mauffrey;Semoutiers-Montsaon;52;CDI;
Chauffeur ;Transports Rapides J Besson;Toulouse;31;CDI;
Chef d'application enrobés;SPIE BATIGNOLLES;Corneville-sur-Risle;27;CDI;
Chef d'atelier;Orano;La Hague;50;CDI;
Chef d'atelier;Ramery;Nieppe;59;CDI;
Chef de chantier ;Vinci Energies France Tertiaire Grand Ouest;Auray;56;CDI;34000.0
Chef de chantier ;SPIE Nucléaire;Centre-Val de Loire;France;CDI;40000.0
Chef de chantier ;Vinci Energies France Industrie Auvergne;Cournon-d'Auvergne;63;CDI;34000.0
Chef de chantier ;SPIE Nucléaire;Civaux;86;CDI;
Chef de chantier ;SPIE Nucléaire;Centre-Val de Loire;France;CDI;
Chef de chantier ;SPIE Industrie;Holtzheim;67;CDI;
Chef de chantier ;Groupe OSMAIA;Moissy-Cramayel;77;CDI;
Chef de chantier ;SPIE BATIGNOLLES;Meyreuil;13;CDI;
Chef de chantier ;EUROVIA Délégation Centre-Ouest;Brest;29;CDI;
Chef de cuisine;Sodexo;Onnaing;59;CDI;34800.0
Chef de cuisine;COTE SUSHI;Angers;49;CDI;
Chef de cuisine;Vitalrest;Pau;64;CDI;
Chef de mission comptable;Exco;Marseille;13;CDI;
Chef de mission comptable;PKF Arsilon;Saint-Quentin;2;CDI;55000.0
Chef de projet;Société Dauphinoise pour l'Habitat;Échirolles;38;CDI;44000.0
Chef de projet;Foselev;Vénissieux;69;CDI;
Chef de projet;KARDHAM;Paris;75;CDI;
Chef de projet;Riversen;Lyon;69;CDI;
Chef de projet;Boccard;Dunkerque;59;CDI;
Chef de projet;Groupe Technic-Assistance;Hauts-de-France;France;CDI;50000.0
Chef de rang;Elior Restauration;Paris;75;CDI;26580.0
Chef de secteur;3F;Rosny-sous-Bois;93;CDI;45000.0
Chef de secteur;Les Grands Chais de France;Toulouse;31;CDI;
Chef de secteur;Relais d'Or - Groupe Pomona;La Rochelle;17;CDI;
Chef d'équipe;JH Industries;Pontivy;56;CDI;36000.0
Chef d'équipe;Feu vert;Avignon;84;CDI;
Chef d'équipe;Feu Vert;Royan;17;CDI;33600.0
Chef d'équipe;Provence Bio;Signes;83;CDI;34580.76
Chef d'équipe;CEME Guerin;La Mézière;35;CDI;
Chef d'équipe;Elivia;Villers-Bocage;14;CDI;
Chef d'équipe;SPIE CityNetworks;Holtzheim;67;CDI;
Chef d'équipe;Dalkia Froid Solutions;Brest;29;CDI;
Chef d'équipe;Würth France;Erstein;67;CDI;
Chef d'équipe;Dispam;Le Pontet;84;CDI;28800.0
Chef d'équipe;RÉSEAU TALENTS;Tarbes;65;CDI;34000.0
Chef d'équipe;Nantes Métropole;Nantes;44;CDI;
Chef d'équipe;Sogetrel;Martillac;33;CDI;
Chef d'équipe;Espace Clôture;Lisieux;14;CDI;
Chef d'équipe;Espace Clôture;Vallet;44;CDI;
Chef d'équipe;Anett;Thouars;79;CDI;
Chef d'équipe;SPIE CityNetworks;Alès;30;CDI;28000.0
Chef electricien;SPIE BATIGNOLLES;La Bâthie;73;CDI;
Chef gérant;Vitalrest;Eysines;33;CDI;33420.0
Chef gérant;1001 repas;Clermont-Ferrand;63;CDI;
Chef production boulanger;Boulangerie  Ange;Villefranche-sur-Saône;69;CDI;
Chef.fe d'équipe chantier;Groupe Fauché;Marseille;13;CDI;
Chef.fe des ventes;Darty;Cherbourg-en-Cotentin;50;CDI;
Chiffreur cfo cfa;SNEF;Marseille;13;CDI;
Chirurgien dentiste;CLINADENT;Nîmes;30;CDI;144000.0
Coiffeur conseiller de vente;Happy Curl - La Boutique du Coiffeur;Tremblay-en-France;93;CDI;28560.0
Collaborateur comptable;Orcom;Agen;47;CDI;
Collaborateur comptable;CERFRANCE DES SAVOIE;Auvergne-Rhône-Alpes;France;CDI;
Collaborateur comptable junior;CERFRANCE DES SAVOIE;Thonon-les-Bains;74;CDI;
Collaborateur comptable referent digital;CERFRANCE DES SAVOIE;Annecy;74;CDI;
Commercial;Colorz;Paris;75;CDI;45000.0
Commercial;Arkéa Financements & Services;Auvergne-Rhône-Alpes;France;CDI;
Commercial b to b bâtiment;Förch;Melun;77;CDI;42000.0
Commercial btob;Chubb;Boves;80;CDI;
Commercial chr paris;Relais d'Or - Groupe Pomona;Paris;75;CDI;
Commercial de terrain neuf et rénovation;Ouverture's;Six-Fours-les-Plages;83;CDI;
Commercial en recrutement;Casavo;Paris;75;CDI;60000.0
Commercial itinérant;AURA;Angoulême;16;CDI;
Commercial itinérant;Ody-C;Orléans;45;CDI;
Commercial régions;Brink's;France;France;CDI;
Commercial sédentaire télévendeur;Brioche et Viennoiserie Thomas;Essarts en Bocage;85;CDI;35000.0
Commercial terrain;Rhéobie;Ambérieu-en-Bugey;1;CDI;80000.0
Commercial terrain btob à ajaccio corse du sud 2a;Local.fr;Ajaccio;2A;CDI;82000.0
Commercial tn seclin;Atlantique Automatismes Incendie;Seclin;59;CDI;
Commercial travaux neufs;DEF;Mérignac;33;CDI;55000.0
Comptable clients;Villa Beausoleil;Provins;77;CDI;35000.0
Comptable clients credit manager en;Subrenat;Mouvaux;59;CDI;30000.0
Comptable général;Galliance;Ancenis-Saint-Géréon;44;CDI;32000.0
Comptable responsable portefeuille clients;TYLS Conseil;Coutances;50;CDI;
Concepteur vendeur;Cuisinella;Saint-Ouen-sur-Seine;93;CDI;50000.0
Concepteur vendeur;Cuisinella;Lannion;22;CDI;40000.0
Conducteur de car scolaire;Hervouet France;Les Herbiers;85;CDI;91002.0
Conducteur de grue mobile;Saint Yves Services;Saint-Thurial;35;CDI;45501.0
Conducteur de grue mobile 70t /f;Foselev;Gilly-sur-Isère;73;CDI;
Conducteur de ligne fabrication;Europe Snacks;La Séguinière;49;CDI;25200.0
Conducteur de lignes injectables répartition;Vetoquinol;Magny-Vernois;70;CDI;
Conducteur de machine 2x8 ou nuit;Oberthur fiduciaire;Chantepie;35;CDI;30000.0
Conducteur de train fret en formation;Gcatrans;Lyon;69;CDI;
Conducteur de travaux cvc;VINCI Energies France Infras Sud Ouest Antilles Guyane;Le Lamentin;972;CDI;42000.0
Conducteur de travaux électricité industrielle;SPIE Industrie;Le Rheu;35;CDI;
Conducteur de travaux électricité industrielle;SPIE Industrie;Nantes;44;CDI;
Conducteur de travaux en arrosage automatique et fontainerie;Groupe OSMAIA;Carrières-sur-Seine;78;CDI;
Conducteur de travaux métallerie serrurerie;Artus Recrutements;Orléans;45;CDI;48000.0
Conducteur d'installations;SUEZ;Carrières-sur-Seine;78;CDI;
Conducteur pl activité bouteilles de gaz fouvet mercier;Fouvet Mercier;Saint-Égrève;38;CDI;
Conducteur spl régional;Grisot Services;Le Faouët;56;CDI;50961.12
Conducteur spl zone courte;Grisot Services;Le Mené;22;CDI;50961.12
Conductrice ou conducteur de travaux datacenter;Circet;Palaiseau;91;CDI;
Conductrice ou conducteur de travaux raccordement client d/f;Circet;Colomiers;31;CDI;
Conseiller client automobile carrosserie;Volkswagen;Albertville;73;CDI;33600.0
Conseiller clientèle trilingue anglais portugais;Jobmania;Paris;75;CDI;25700.0
Conseiller commercial;Maximo;Semoy;45;CDI;45000.0
Conseiller commercial;Würth France;Essonne;91;CDI;
Conseiller commercial;Würth France;Rambouillet;78;CDI;
Conseiller commercial;Würth France;Vitry-sur-Seine;94;CDI;
Conseiller commercial;Groupama Centre Manche;Le Mans;72;CDI;
Conseiller commercial;Maximo;Sarralbe;57;CDI;45000.0
Conseiller commercial assurance marché agricole guise;Groupama Nord Est;Guise;2;CDI;
Conseiller commercial assurance marché des particuliers guise;Groupama Nord Est;Guise;2;CDI;
Conseiller commercial en prêts immobiliers gap;La Centrale de Financement;Gap;5;CDI;
Conseiller commercial securite;Nexecur;Annecy;74;CDI;
Conseiller commercial véhicules neufs audi;Audi;Annemasse;74;CDI;60000.0
Conseiller de clientèle nantes;Bouygues Telecom;Nantes;44;CDI;
Conseiller de vente;Happy Curl - La Boutique du Coiffeur;Rosny-sous-Bois;93;CDI;28560.0
Conseiller de vente;Brico Dépôt;Verniolle;9;CDI;
Conseiller de vente;Bouygues Telecom;Saint-Grégoire;35;CDI;
Conseiller de vente alimentaire;Auchan Retail France;Bouliac;33;CDI;24160.0
Conseiller de vente bordeaux ste catherine /f;Adopt';Bordeaux;33;CDI;
Conseiller de vente clisson /f;Pallard;Clisson;44;CDI;
Conseiller de vente en poissonnerie n/f;Auchan Retail France;Woippy;57;CDI;25050.0
Conseiller de vente poissonnerie;Auchan Retail France;Strasbourg;67;CDI;25050.0
Conseiller de vente polyvalent;Mr Bricolage;Tignieu-Jameyzieu;38;CDI;22800.0
Conseiller d'entreprise agricole;CERFRANCE DES SAVOIE;Haute-Savoie;74;CDI;
Conseiller d'entreprise agricole agronome;CERFRANCE DES SAVOIE;Auvergne-Rhône-Alpes;France;CDI;
Conseiller d'entreprise tpe pme expert comptable;CERFRANCE DES SAVOIE;Bonneville;74;CDI;
Conseiller en transaction de fonds de commerce;Blot;Brest;29;CDI;70000.0
Conseiller en transaction de fonds de commerce;Blot;Plabennec;29;CDI;70000.0
Conseiller en transaction de fonds de commerce;Blot;Saint-Renan;29;CDI;70000.0
Conseiller immobilier;Casavo;Palaiseau;91;CDI;
Conseiller immobilier;Casavo;Bry-sur-Marne;94;CDI;
Conseiller immobilier;Casavo;Saclay;91;CDI;
Conseiller immobilier;Casavo;Verrières-le-Buisson;91;CDI;
Conseiller immobilier;Casavo;Bièvres;91;CDI;
Conseiller·e de beauté boutique yves rocher /f;Yves Rocher;Drancy;93;CDI;
Conseiller·e de beauté boutique yves rocher la teste de buch;Yves Rocher;La Teste-de-Buch;33;CDI;
Conseiller·e de beauté esthéticien·ne boutique yves rocher;Yves Rocher;Lyon;69;CDI;
Conseiller·e de beauté esthéticien·ne boutique yves rocher vaulx en velin;Yves Rocher;Vaulx-en-Velin;69;CDI;
Consultant achats travaux senior;EPSA;Paris;75;CDI;
Consultant confirmé cloud toulouse;CNS Communications;Toulouse;31;CDI;
Consultant en charges sociales;EPSA;Lyon;69;CDI;
Consultant formateur gtp grands comptes idf;KELIO;Paris;75;CDI;
Consultant formateur logiciels sirh lille;KELIO;Lille;59;CDI;
Consultant immobilier salarié·e vrp;Foncia;Tours;37;CDI;
Contract manager;CBRE GWS FRANCE;Courbevoie;92;CDI;
Contract manager it;EPSA;Paris;75;CDI;
Contrôleur de gestion;Inconnu;Chartres;28;CDI;
Contrôleur de gestion commercial & marketing;Jacquet-Brossard - Groupe Limagrain;Paris;75;CDI;58000.0
Contrôleur de gestion exploitation;Brico Dépôt;Longpont-sur-Orge;91;CDI;
Contrôleur de gestion marchés et offre;Weldom S.A;Breuil-le-Sec;60;CDI;64000.0
Contrôleur de gestion social;Fnac Darty;Ivry-sur-Seine;94;CDI;
Controleur final;Safran;Colombes;92;CDI;
Contrôleur financier groupe;Groupe Duval;Rennes;35;CDI;75000.0
Controleur non destructif;Fives Groupe;Saint-Paul-lès-Durance;13;CDI;
Coordinateur environnement en;Sources Alma;Nord;59;CDI;40000.0
Coordinateur responsable de centre;CLINADENT;Marseille;13;CDI;40000.0
Coordinateur services généraux;Exoceth Consulting;Limoges;87;CDI;40000.0
Coordinateur technique projet;KALI Group;Aix-en-Provence;13;CDI;50000.0
Coordinateur·trice artworks en haute savoie;DELPHARM;Gaillard;74;CDI;
Coordinateur·trice transport;Veolia;Aubervilliers;93;CDI;
Coordonnateur sps;Socotec;Lyon;69;CDI;52000.0
Correspondant qhsse btp courcouronnes;SPIE Facilities;Évry-Courcouronnes;91;CDI;
Cuisinier;Sodexo;Vesoul;70;CDI;22800.0
Cuisinier;COMPASS GROUP;Noyal-Châtillon-sur-Seiche;35;CDI;
Cuisinier;Sodexo;Le Mans;72;CDI;24000.0
Cuisinier;acSent Sud-Ouest;Revel;31;CDI;
Cuisinier en ehpad;Sodexo;Lormont;33;CDI;23400.0
Délégué pharmaceutique lyon /f;Lactalis;Lyon;69;CDI;
Développeur full stack;CT Infodream;Aix-les-Bains;73;CDI;40000.0
Développeur ia;Docaposte;Rennes;35;CDI;
Diagnostiqueur amiante datr;Bureau Veritas;Charleville-Mézières;8;CDI;34000.0
Directeur achats groupe & filiales;Groupe Trouillet;Puget-sur-Argens;83;CDI;75000.0
Directeur copropriété;Foncia;Saint-Maur-des-Fossés;94;CDI;
Directeur d'agence;Desenfans;Cambrai;59;CDI;
Directeur d'agence collecte de déchets industriels;Paprec;Plouigneau;29;CDI;
Directeur de projets industriels;Fives Groupe;Maisons-Alfort;94;CDI;
Directeur d'etablissement;Maximo;Pers-Jussy;74;CDI;65000.0
Directeur général directeur d'agence;Avipur;Gueux;51;CDI;
Directeur hypermarché;Auchan Retail France;Lyon;69;CDI;85800.0
Directeur projet;SPIE BATIGNOLLES;Nanterre;92;CDI;
Educateur de jeunes enfants multisites en micro crèche hem;Rigolo comme la vie;Nord;59;CDI;24600.0
Éducateur spécialisé;ARI - Association régionale pour l'intégration;Marseille;13;CDI;42000.0
Électricien;ALLEZ Energies – Groupe ALLEZ;Figeac;46;CDI;
Electricien courants faibles monteur câbleur;SNEF;Rungis;94;CDI;
Electricien dampierre;SPIE Nucléaire;Centre-Val de Loire;France;CDI;
Electricien polyvalent;Portakabin;Champdeuil;77;CDI;26400.0
Electromecanicien;SNEF;Moirans;38;CDI;
Electromécanicien;Sources Alma;Mérignies;59;CDI;
Electromécanicien;Orano;La Hague;50;CDI;
Électromécanicien;SARP;Les Garennes sur Loire;49;CDI;
Électromécanicien;Veolia;Trappes;78;CDI;28800.0
Electromécanicien dépanneur technicien sav;Saint Yves Services;Saint-Brieuc;22;CDI;36000.0
Electromécanicien dépanneur technicien sav;Saint Yves Services;Rennes;35;CDI;36000.0
Electromécanicien dépanneur technicien sav;Saint Yves Services;Aigné;72;CDI;36000.0
Employé de couvoir;Groupe Grimaud;Meslay-du-Maine;53;CDI;160163.52
Employé de magasin;Action France;Saint-Agathon;22;CDI;22164.0
Employé de magasin;Action France;Cholet;49;CDI;22164.0
Employé de magasin;Action France;Muzillac;56;CDI;22164.0
Employé de maison à rezé;O2;Rezé;44;CDI;74621.64
Employé de maison de à par semaine secteur carlux;O2;Sarlat-la-Canéda;24;CDI;
Employé de maison de à par semaine secteur marquay;O2;Sarlat-la-Canéda;24;CDI;
Employé de maison de à sem secteur cenac et saint julien;O2;Sarlat-la-Canéda;24;CDI;
Employé de ménage ambérieu en bugey;O2;Ambérieu-en-Bugey;1;CDI;91002.0
Employé de ménage repassage;O2;Aixe-sur-Vienne;87;CDI;91002.0
Employé de ménage repassage;O2;Lure;70;CDI;38220.84
Employé de ménage repassage;O2;Cognac;16;CDI;94642.08
Employé de ménage repassage plelan le grand;O2;Plélan-le-Grand;35;CDI;21840.48
Employé de ménage repassage trets et alentours;O2;Aix-en-Provence;13;CDI;23660.52
Employé de restauration;acSent Sud-Ouest;Carbonne;31;CDI;
Employé d'immeubles belleville en beaujolais;Groupe Deux Fleuves;Belleville-en-Beaujolais;69;CDI;
Employé production;Dachser France;Wissous;91;CDI;
Employé qualifié logistique magasin;Auchan Retail France;Dury;80;CDI;24160.0
Employé qualifié logistique magasin;Auchan Retail France;Caluire-et-Cuire;69;CDI;24947.0
Equipier magasin;Auchan Retail France;Saint-Jean-de-la-Ruelle;45;CDI;24160.0
Equipier magasin n2 caisse /f;Auchan Retail France;Saint-Cyr-sur-Loire;37;CDI;24160.0
Equipier snacking;Boulangerie  Ange;Bourgoin-Jallieu;38;CDI;
Estimateur confirmé;Orano;Montigny-le-Bretonneux;78;CDI;
Expert cash management;Arkea Banque Entreprises et Institutionnels;Paris;75;CDI;
Expert comptable conseiller d'entreprise tpe pme;CERFRANCE DES SAVOIE;France;France;CDI;
Expert comptable stagiaire;Cogeparc;Lyon;69;CDI;40000.0
Expert experte infrastructures ip & télécoms ucc;SPIE ICS;Marseille;13;CDI;45000.0
Expert produit souscripteur immeuble;Axeria iard;Lyon;69;CDI;
Exploitant recruteur;GS Consultants;Nancy;54;CDI;
Exploitant transport;Hedis;Saint-Alban;31;CDI;
Exploitant transport agent exploitation;Envoyé Spécial;Le Meux;60;CDI;
Femme homme de ménage énin beaumont;O2;Carvin;62;CDI;
Formateur ambulancier;Aftral;Dijon;21;CDI;39000.0
Frigoriste;Petit Forestier Group;Spicheren;57;CDI;
